variable,description
สินค้าหลัก,ไอศกรีมแท่ง ไอศกรีมถ้วย ไอศกรีมโคน มีทุกรสชาติ เน้นให้ลูกค้าวางตู้ฟรี
ไอศกรีมตัก,เหมาะสำหรับคาเฟ่และร้านอาหาร โดยเฉพาะหมูกะทะที่เอาไปใช้ในบุฟเฟ่ ราคาถูก คุณภาพดี
รสชาติสินค้า,มีทุกรสชาติ เช่น ช็อกโกแลต วนิลา สตรอว์เบอร์รี่ มะพร้าว ชาเขียว และอื่นๆ อีกมากมาย เน้นความสะดวกและโปรโมชั่น
ขนาดตู้แช่,"มี 3 ขนาด: กว้าง 1 เมตร (เล็ก), 1.2 เมตร (กลาง), 1.5 เมตร (ใหญ่) ตู้แบบกระจกเลื่อน"
ตู้แช่ภาพตัวอย่าง,ตู้แช่แบบกระจกเลื่อน สวยงามทันสมัย ดูภาพได้ที่: https://res.cloudinary.com/dz3cmaxnc/image/upload/v1761356069/cremo-large-freezer.jpg
ค่าไฟตู้แช่,ค่าไฟเฉลี่ยวันละ 10-12 บาท คิดเป็นเดือนประมาณ 300-360 บาท ขึ้นกับการเปิด-ปิดตู้
การรับประกันตู้,รับประกันตลอดอายุสัญญา ตู้เสียซ่อมฟรี หรือเปลี่ยนตู้ใหม่ให้เลย ไม่มีค่าใช้จ่ายเพิ่มเติม
การติดตั้งตู้,ติดตั้งฟรี ไม่มีค่าติดตั้ง ใช้เวลาแค่ 30 นาที เสียบปลั๊กรอ 2 ชั่วโมงก็เริ่มขายได้ทันที ง่ายมาก
เคลมตู้เสีย,แจ้งเราทันทีผ่าน Line หรือโทร จะส่งช่างไปซ่อมฟรีหรือเปลี่ยนตู้ใหม่ให้เลย รวดเร็วภายใน 1-2 วัน
โปรโมชั่นปัจจุบัน,"บิลแรก 2,500 บาท ลดทันที 1,000 บาท จ่ายจริงเพียง 1,500 บาท ได้ตู้ฟรี ส่งฟรี ไม่มีมัดจำ โปรนี้อัปเดตเป็นระยะ ต้องเช็คล่าสุดก่อนบอกลูกค้าเสมอ"
ค่าใช้จ่ายทั้งหมด,"เสียแค่ค่าสินค้าบิลแรก 1,500 บาท (หลังลด 1,000 จากปกติ 2,500) ที่เหลือฟรีหมด: ตู้ฟรี ไม่มีมัดจำ ไม่มีค่าติดตั้ง ไม่มีค่าส่ง ไม่มีค่าซ่อม"
ค่ามัดจำตู้,ไม่มีค่ามัดจำเลย เราให้ยืมตู้ฟรี 100% ไม่ต้องจ่ายเงินล่วงหน้า เสียแค่ค่าสินค้าบิลแรกเท่านั้น
ค่าส่งตู้,ส่งฟรีทุกจังหวัดทั่วไทย ไม่มีค่าขนส่งแม้แต่บาทเดียว ไม่ว่าจะอยู่ไกลแค่ไหนก็ฟรี
ค่าติดตั้งตู้,ติดตั้งฟรี ไม่มีค่าติดตั้ง ทีมช่างมาติดตั้งให้ฟรีทั่วประเทศ เสียบปลั๊กก็ใช้ได้เลย
กำไรโดยเฉลี่ย,"ลูกค้าทั่วไป (ร้านสะดวกซื้อ/คาเฟ่): 3,000-10,000 บาท/เดือน | โรงเรียน: 5,000-15,000 บาท/เดือน | ขึ้นกับยอดขายและจำนวนลูกค้า"
ราคาขายออก,ราคาขายปลีกโดยเฉลี่ย 10-15 บาท/ชิ้น (ขึ้นกับรุ่นและขนาด) กำไรต่อชิ้นประมาณ 3-5 บาท ลูกค้าส่วนใหญ่ขายได้ 20-50 ชิ้น/วัน
ราคาสินค้าต้นทุน,ต้นทุนสินค้าโดยเฉลี่ย 7-10 บาท/ชิ้น (ขึ้นกับรุ่น) ขายออก 10-15 บาท ได้กำไร 3-5 บาท/ชิ้น คำนวณง่าย ขายวันละ 30 ชิ้น ได้กำไร 100-150 บาท/วัน
การสั่งซื้อ,สั่งตามยอดขายจริง ไม่มีขั้นต่ำบังคับ ขายดีสั่งเยอะ ขายน้อยสั่งน้อย ยืดหยุ่น100% ลูกค้าไม่เสี่ยงสต็อกค้าง
ส่วนลดพิเศษ,"นอกจากบิลแรกลด 1,000 บาทแล้ว ยังมีโปรเมชั่นพิเศษตามช่วงเทศกาล (เช่น ปีใหม่ สงกรานต์) ต้องเช็คกับทีมขายเสมอเพราะอัปเดตบ่อย"
ราคาเปรียบเทียบคู่แข่ง,ครีโมถูกกว่าแบรนด์ดังอื่นๆ ประมาณ 15-20% แต่คุณภาพไม่แพ้ กำไรดีกว่า เหมาะสำหรับร้านเล็กที่ต้องการกำไรดี
พื้นที่ให้บริการ,ให้บริการทั่วไทยทุกจังหวัด เน้นภาคกลาง แต่ภาคอื่นๆ ก็รับทั้งหมด มีเซลส์และทีมติดตั้งในทุกภูมิภาค
ทีมขายในพื้นที่,มีเซลส์ประจำทุกจังหวัด สามารถนัดหมายไปพบที่ร้านได้ เอาตัวอย่างไปให้ดู อธิบายรายละเอียดตรงหน้าได้
สัญญาและเงื่อนไข,สัญญาไม่ผูกมัด ไม่อยากขายต่อคืนตู้ได้เลย ไม่มีค่าปรับ แค่แจ้งล่วงหน้า 7 วัน จะไปเก็บตู้คืนฟรี ลูกค้าไม่เสี่ยงอะไร
การยกเลิกสัญญา,ยกเลิกได้ตลอดเวลา แจ้งล่วงหน้า 7 วัน ไม่มีค่าปรับ ไม่มีค่าใช้จ่าย ทีมจะไปเก็บตู้คืนฟรี ง่ายมาก
เงื่อนไขการวางตู้,ต้องมีพื้นที่วางตู้ มีปลั๊กไฟ และยอมรับเงื่อนไขว่าจะดูแลตู้ไม่ให้เสียหาย (ใช้งานปกติ) เท่านั้น ไม่มีเงื่อนไขซับซ้อน
ช่องทางติดต่อ,"ติดต่อผ่าน Facebook Messenger (เพจครีโม), Line Official, หรือโทรศัพท์ เราไม่ให้เบอร์ตรงๆ แต่ขอเบอร์ลูกค้าแล้วให้เซลส์โทรกลับ พร้อมถามช่วงเวลาที่สะดวก"
เวลาทำการ,ให้บริการ 24/7 ไม่มีวันหยุด ตอบข้อความได้ตลอดเวลา แต่การติดตั้งตู้จะนัดหมายในวันจันทร์-เสาร์ เวลา 9:00-17:00
ระยะเวลาติดตั้ง,หลังยืนยันคำสั่งซื้อ ประมาณ 3-7 วันจะนัดไปติดตั้ง (ขึ้นกับพื้นที่) ติดตั้งใช้เวลา 30 นาที รอ 2 ชม.ก็ขายได้