Template_Name,AI_Instructions,Category,Last_Used,Primary_Message,Prompt_Template,Status,Success_Rate,Usage_Count
Success Story,A photorealistic image capturing a real success story moment in Thailand,Photography,,Real people achieving business success with CREMO franchise,"A photorealistic image of real location in region Thailand showing subjects actions in environments with lighting lighting, moods mood, shot_types shot of quantity people",Active,,
Success Story,A photorealistic image capturing a real success story moment in Thailand,Photography,,Real people achieving business success with CREMO franchise,"A photorealistic image of real location in {region} Thailand showing {subjects} {actions} in {environments} with {lighting} lighting, {moods} mood, {shot_types} shot of {quantity} people",Active,,
Success Story,A photorealistic image capturing a real success story moment in Thailand,Photography,,Real people achieving business success with CREMO franchise,"A photorealistic image of real location in {region} Thailand showing {subjects} {actions} in {environments} with {lighting} lighting, {moods} mood, {shot_types} shot of {quantity} people",Active,,
Lifestyle Photography,Modern lifestyle photography showcasing ice cream as part of daily life,Photography,,Ice cream as a natural part of modern Thai lifestyle,"A photorealistic image of real location in region Thailand showing subjects actions in environments with lighting lighting, moods mood, shot_types shot of quantity people",Active,,
Product Demonstration,Clean professional shots showing product usage and benefits,Photography,,Clear demonstration of product quality and appeal,"A photorealistic, clean shot of a glass-top ice cream freezer filled with quantity subjects in environments with lighting lighting, shot_types shot",Active,,
Community Moments,Capture authentic community and social moments around ice cream enjoyment,Photography,,Building community connections through shared moments,"A photorealistic image of real location in region Thailand showing subjects actions in environments with lighting lighting, moods mood, shot_types shot of quantity people",Active,,
Plush Balloon Style,"Design the main object {Object_Style} (e.g., as a plush balloon, pillow, or inflatable toy). Using smooth matte fabric texture, no plastic feel, with wrinkles and stitching. Place on a minimalist {Background_Color} background.",Illustration,,"Playful, sculptural images of the Cremo freezer as a soft item.","Design the {Main_Object} {Object_Style}. Using smooth matte fabric texture, Do not have a plastic feeling. complemented by subtle fabric wrinkles and stitching to emphasize its inflated effect. The shape should be slightly irregular and soft, with gentle shadows and lighting to highlight its volume and realism. Place it on a clean, minimalist {Background_Color} background to maintain a playful sculptural aesthetic.",Active,0%,0
Localized Image Edit (Masking),"(Workflow: Inpainting) Requires 3 inputs from N8N: 1. Original_Image_URL, 2. Mask_Image_URL, 3. The {Edit_Instruction} pulled from the Options file.",Editing,,A library of pre-defined prompts for fixing images.,{Edit_Instruction},Active,0%,0
Isometric Scene,Create a cute 3D isometric tile rendering of the Cremo freezer on a simple base. Include 3D characters. The freezer must be the central element. The scene must use {Base_Color} and {Background_Color} as the dominant color palette.,3D/Isometric,,"Cute, 3D isometric scenes featuring the Cremo freezer with people and kids.","A rounded, cute isometric tile 3D rendering. The central element is a Cremo glass-top ice cream freezer (which is white) set on a simple 3D base. Around the freezer, {quantity} cute 3D characters ({subject}) {action}. The scene creates a {mood} atmosphere. The entire scene uses a color palette dominated by {Base_Color} and {Background_Color}, allowing characters (skin tones, clothes) and the freezer to have their own natural details. 1:1 ratio.",Active,0%,0
Freezer Studio Shot,"Focus only on the Cremo glass-top freezer. The freezer is the hero. The background should be clean, in a studio. Must use {Primary_Color} and {Secondary_Color} as accents.",Studio,,"Professional, clean studio images of the Cremo freezer itself.","A professional studio shot of {quantity} {subject} {action}, set in a {environment}. The scene uses {lighting} to create a {mood} atmosphere. {shotType}. The image must be high-quality and use {Primary_Color} and {Secondary_Color} as accents on the freezer or background.",Active,0%,0